disease,symptoms,disease_id
panic disorder,"anxiety and nervousness,depression,shortness of breath",134
panic disorder,"anxiety and nervousness,depression,shortness of breath",134
panic disorder,"anxiety and nervousness,depression,shortness of breath",134
panic disorder,"anxiety and nervousness,depression,shortness of breath",134
panic disorder,"anxiety and nervousness,depression,shortness of breath",134
panic disorder,"anxiety and nervousness,depression,shortness of breath",134
panic disorder,"anxiety and nervousness,depression,shortness of breath",134
panic disorder,"anxiety and nervousness,depression,shortness of breath",134
panic disorder,"anxiety and nervousness,depression,shortness of breath",134
panic disorder,"anxiety and nervousness,depression,shortness of breath",134
panic disorder,"anxiety and nervousness,depression,shortness of breath",134
panic disorder,"anxiety and nervousness,depression,shortness of breath",134
panic disorder,"anxiety and nervousness,depression,shortness of breath",134
panic disorder,"anxiety and nervousness,depression,shortness of breath",134
panic disorder,"anxiety and nervousness,depression,shortness of breath",134
panic disorder,"anxiety and nervousness,depression,shortness of breath",134
panic disorder,"anxiety and nervousness,depression,shortness of breath",134
panic disorder,"anxiety and nervousness,depression,shortness of breath",134
panic disorder,"anxiety and nervousness,depression,shortness of breath",134
panic disorder,"anxiety and nervousness,depression,shortness of breath",134
panic disorder,"anxiety and nervousness,depression,shortness of breath",134
panic disorder,"anxiety and nervousness,depression,shortness of breath",134
panic disorder,"anxiety and nervousness,depression,shortness of breath",134
panic disorder,"anxiety and nervousness,depression,shortness of breath",134
panic disorder,"anxiety and nervousness,depression,shortness of breath",134
panic disorder,"anxiety and nervousness,depression,shortness of breath",134
panic disorder,"anxiety and nervousness,depression,shortness of breath",134
panic disorder,"anxiety and nervousness,depression,shortness of breath",134
panic disorder,"anxiety and nervousness,depression,shortness of breath",134
panic disorder,"anxiety and nervousness,depression,shortness of breath",134
panic disorder,"anxiety and nervousness,depression,shortness of breath",134
panic disorder,"anxiety and nervousness,depression,shortness of breath",134
panic disorder,"anxiety and nervousness,depression,shortness of breath",134
turner syndrome,"groin mass,leg pain,hip pain",189
turner syndrome,"groin mass,leg pain,hip pain",189
atrophic vaginitis,"vaginal itching,vaginal dryness,painful urination",17
atrophic vaginitis,"vaginal itching,vaginal dryness,painful urination",17
atrophic vaginitis,"vaginal itching,vaginal dryness,painful urination",17
atrophic vaginitis,"vaginal itching,vaginal dryness,painful urination",17
atrophic vaginitis,"vaginal itching,vaginal dryness,painful urination",17
atrophic vaginitis,"vaginal itching,vaginal dryness,painful urination",17
atrophic vaginitis,"vaginal itching,vaginal dryness,painful urination",17
atrophic vaginitis,"vaginal itching,vaginal dryness,painful urination",17
glaucoma,"diminished vision,pain in eye,symptoms of eye",68
glaucoma,"diminished vision,pain in eye,symptoms of eye",68
glaucoma,"diminished vision,pain in eye,symptoms of eye",68
glaucoma,"diminished vision,pain in eye,symptoms of eye",68
glaucoma,"diminished vision,pain in eye,symptoms of eye",68
glaucoma,"diminished vision,pain in eye,symptoms of eye",68
glaucoma,"diminished vision,pain in eye,symptoms of eye",68
glaucoma,"diminished vision,pain in eye,symptoms of eye",68
glaucoma,"diminished vision,pain in eye,symptoms of eye",68
transient ischemic attack,"loss of sensation,dizziness,headache",185
transient ischemic attack,"loss of sensation,dizziness,headache",185
transient ischemic attack,"loss of sensation,dizziness,headache",185
transient ischemic attack,"loss of sensation,dizziness,headache",185
transient ischemic attack,"loss of sensation,dizziness,headache",185
transient ischemic attack,"loss of sensation,dizziness,headache",185
diabetic retinopathy,"diminished vision,spots or clouds in vision,pain in eye",49
diabetic retinopathy,"diminished vision,spots or clouds in vision,pain in eye",49
fibromyalgia,"back pain,ache all over,neck pain",64
fibromyalgia,"back pain,ache all over,neck pain",64
fibromyalgia,"back pain,ache all over,neck pain",64
fibromyalgia,"back pain,ache all over,neck pain",64
fibromyalgia,"back pain,ache all over,neck pain",64
fibromyalgia,"back pain,ache all over,neck pain",64
fibromyalgia,"back pain,ache all over,neck pain",64
fibromyalgia,"back pain,ache all over,neck pain",64
fibromyalgia,"back pain,ache all over,neck pain",64
fibromyalgia,"back pain,ache all over,neck pain",64
fibromyalgia,"back pain,ache all over,neck pain",64
fibromyalgia,"back pain,ache all over,neck pain",64
fibromyalgia,"back pain,ache all over,neck pain",64
fibromyalgia,"back pain,ache all over,neck pain",64
fibromyalgia,"back pain,ache all over,neck pain",64
fibromyalgia,"back pain,ache all over,neck pain",64
fibromyalgia,"back pain,ache all over,neck pain",64
fibromyalgia,"back pain,ache all over,neck pain",64
fibromyalgia,"back pain,ache all over,neck pain",64
fibromyalgia,"back pain,ache all over,neck pain",64
